id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,monthly_discretionary_limits
852,35,68,1985,1,Female,955 11th Street,29.82,-82.59,"$19,693 ","$40,156 ","$70,128 ",738,3,"$1,673 "
1817,52,64,1968,2,Female,25622 Lake Street,29.55,-95.27,"$36,253 ","$73,920 ","$166,395 ",683,1,"$3,080 "
1192,44,68,1976,2,Female,1450 Rose Drive,44.22,-93.44,"$19,630 ","$40,026 ","$70,877 ",768,1,"$1,668 "
787,19,67,2000,3,Female,762 Lake Drive,29.61,-95.61,"$35,183 ","$71,740 ","$38,238 ",767,2,"$2,989 "
1285,68,53,1951,12,Female,6723 Maple Street,38.83,-77.21,"$30,622 ","$65,298 ","$18,684 ",524,2,"$2,721 "
715,37,75,1983,1,Female,94 Ocean Avenue,41.76,-88.15,"$49,195 ","$100,303 ","$53,919 ",821,2,"$4,179 "
377,80,67,1940,1,Female,305 Pine Avenue,47.39,-122.26,"$24,884 ","$39,110 ",$363 ,750,5,"$1,630 "
716,31,70,1988,5,Male,1495 Elm Boulevard,33.92,-116.83,"$13,002 ","$26,511 ","$21,869 ",769,6,"$1,105 "
1361,67,66,1952,12,Male,9385 Lincoln Drive,42.38,-83.1,"$14,848 ","$28,714 ","$12,978 ",638,2,"$1,196 "
1914,21,70,1998,4,Female,5259 Lake Drive,36.78,-76.08,"$20,678 ","$42,161 ","$59,210 ",672,1,"$1,757 "
1966,42,68,1977,11,Male,3835 Norfolk Street,36.05,-90.51,"$15,447 ","$31,499 ","$45,661 ",782,4,"$1,312 "
1513,48,66,1972,2,Male,8849 West Drive,41.3,-73.13,"$32,240 ","$65,736 ","$206,000 ",733,3,"$2,739 "
248,80,67,1939,12,Female,80471 Eighth Street,27.95,-82.48,"$13,254 ","$13,596 ",$352 ,684,4,$567 
1557,50,66,1970,2,Female,2516 Essex Drive,45.45,-122.79,"$23,687 ","$48,295 ","$109,558 ",707,3,"$2,012 "
104,33,65,1986,11,Female,2043 Mill Street,32.69,-97.01,"$18,334 ","$37,384 ","$49,182 ",713,3,"$1,558 "
330,36,71,1984,2,Male,271 Sixth Drive,40.24,-75.28,"$31,595 ","$64,419 ","$183,210 ",711,1,"$2,684 "
1144,57,66,1962,12,Female,545 Eighth Avenue,29.76,-95.38,"$14,959 ","$30,495 ","$70,825 ",773,4,"$1,271 "
230,39,65,1980,10,Female,675 Fifth Avenue,30.44,-91.12,"$17,412 ","$35,501 ","$78,801 ",693,4,"$1,479 "
1876,50,70,1969,7,Male,2040 Washington Boulevard,38.05,-84.72,"$21,869 ","$44,587 ","$17,148 ",775,6,"$1,858 "
469,67,67,1952,3,Female,488 Bayview Boulevard,33.88,-117.85,"$26,675 ","$46,945 ","$17,835 ",682,4,"$1,956 "
765,18,68,2002,2,Male,188 Ninth Boulevard,37.78,-90.42,"$17,707 ","$36,101 ","$46,425 ",778,2,"$1,504 "
692,52,65,1967,8,Female,23 Sussex Lane,42.92,-82.88,"$20,942 ","$42,701 ","$53,696 ",701,4,"$1,779 "
740,30,62,1989,8,Female,9104 Second Avenue,29.76,-95.38,"$15,862 ","$32,343 ","$39,656 ",683,3,"$1,348 "
1006,37,68,1982,4,Male,7559 Forest Boulevard,41.53,-87.26,"$21,851 ","$44,550 ","$117,302 ",761,3,"$1,856 "
1696,63,65,1956,12,Female,4461 Hill Street,28.32,-80.68,"$26,339 ","$53,702 ","$85,160 ",606,1,"$2,238 "
196,44,64,1975,5,Female,518 Norfolk Avenue,33.29,-83.96,"$17,545 ","$35,775 ","$67,263 ",773,1,"$1,491 "
1358,69,70,1950,4,Female,128 Main Street,43.1,-89.5,"$33,808 ","$68,930 ","$72,619 ",768,4,"$2,872 "
748,55,69,1965,1,Male,2100 Summit Street,29.76,-95.38,"$18,412 ","$37,534 ","$99,840 ",706,3,"$1,564 "
1960,30,61,1989,12,Male,334 Rose Boulevard,38.96,-76.85,"$23,500 ","$47,916 ","$69,567 ",612,1,"$1,997 "
404,44,61,1975,9,Male,33 Seventh Boulevard,29.77,-82.48,"$21,979 ","$44,816 ","$63,043 ",625,1,"$1,867 "
741,75,66,1944,9,Male,239 Third Drive,42.35,-71.06,"$21,695 ","$41,316 ","$22,629 ",826,1,"$1,722 "
9,29,60,1990,12,Male,22 Mill Drive,32.63,-117.05,"$20,102 ","$40,988 ","$89,801 ",540,3,"$1,708 "
790,34,65,1985,3,Female,480 Ocean View Boulevard,32.9,-116.89,"$22,740 ","$46,361 ","$69,620 ",743,2,"$1,932 "
1839,59,60,1960,6,Female,1892 Catherine Street,37.13,-85.96,"$13,456 ","$27,439 ","$84,665 ",631,1,"$1,143 "
1585,35,69,1984,11,Female,4346 El Camino Boulevard,30.33,-81.65,"$20,710 ","$42,229 ",$0 ,688,3,"$1,760 "
732,60,68,1959,8,Male,513 Tenth Avenue,37.68,-97.34,"$19,224 ","$39,191 ","$43,396 ",756,6,"$1,633 "
913,56,70,1963,5,Male,4943 Martin Luther King Lane,28.3,-81.41,"$13,964 ","$28,476 ",$0 ,693,3,"$1,187 "
626,22,65,1997,6,Female,394 Essex Boulevard,26.11,-80.39,"$42,160 ","$85,954 ","$108,684 ",746,2,"$3,581 "
1084,36,66,1984,1,Male,152 West Drive,47.26,-122.45,"$31,518 ","$64,262 ","$75,415 ",775,4,"$2,678 "
467,38,65,1981,9,Male,969 Lexington Lane,35.06,-85.25,"$21,988 ","$44,831 ","$20,906 ",705,3,"$1,868 "
1235,18,65,2002,2,Male,283 Rose Lane,33.6,-117.66,"$30,564 ","$62,316 ","$146,487 ",813,1,"$2,597 "
802,35,67,1984,3,Female,3369 Wessex Avenue,38.74,-121.25,"$29,367 ","$59,872 ","$95,927 ",752,4,"$2,495 "
859,51,72,1968,4,Male,865 Wessex Lane,36.15,-85.5,"$15,955 ","$32,531 ","$78,193 ",631,4,"$1,355 "
1247,69,71,1950,9,Female,6466 Ninth Drive,35.54,-118.91,"$21,654 ","$44,152 ","$90,526 ",700,5,"$1,840 "
1725,49,66,1970,9,Female,791 11th Boulevard,37.55,-77.46,"$20,917 ","$42,652 ","$133,935 ",729,6,"$1,777 "
37,41,60,1978,7,Female,533 Sussex Drive,43.31,-76.57,"$17,013 ","$34,690 ","$48,954 ",683,4,"$1,445 "
75,80,66,1939,12,Female,6328 Forest Street,29.76,-95.38,"$18,528 ","$22,326 ","$1,620 ",564,4,$930 
408,58,62,1961,4,Female,690 Hill Lane,45.4,-91.84,"$15,371 ","$31,343 ","$49,537 ",741,3,"$1,306 "
1862,25,65,1994,4,Female,7111 Lexington Avenue,41.57,-93.61,"$18,568 ","$37,864 ","$57,052 ",686,1,"$1,578 "
1850,18,61,2001,9,Female,293 South Street,31.94,-94.85,"$16,183 ","$32,998 ","$45,196 ",736,1,"$1,375 "
991,52,60,1967,8,Male,3740 Ocean Lane,41.37,-82.1,"$18,110 ","$36,927 ","$54,145 ",554,1,"$1,539 "
730,51,69,1968,8,Male,932 Bayview Avenue,38.9,-94.68,"$41,663 ","$84,944 ","$57,746 ",713,3,"$3,539 "
670,21,71,1998,3,Female,7469 El Camino Street,42.31,-83.21,"$11,773 ","$24,006 ","$57,226 ",801,2,"$1,000 "
1008,52,69,1968,2,Female,38688 First Avenue,41.83,-87.68,"$22,296 ","$45,462 ","$68,494 ",657,5,"$1,894 "
1126,18,64,2002,1,Male,3578 Pine Lane,35.4,-80.59,"$20,570 ","$41,940 ","$82,593 ",710,1,"$1,748 "
1835,25,65,1994,8,Female,355 Burns Boulevard,40.86,-76.78,"$16,519 ","$33,682 ","$42,690 ",793,1,"$1,403 "
952,29,66,1990,5,Male,7135 Ninth Lane,42.31,-71.16,"$62,177 ","$126,775 ","$28,869 ",685,2,"$5,282 "
574,22,66,1997,12,Male,7296 Second Lane,38.38,-84.29,"$17,478 ","$35,635 ","$16,372 ",713,4,"$1,485 "
1807,47,65,1972,12,Female,14780 Plum Lane,40.84,-73.87,"$25,537 ","$52,065 ","$98,613 ",828,5,"$2,169 "
101,18,62,2002,1,Female,91 Essex Lane,32.88,-105.95,"$15,095 ","$30,778 ","$73,680 ",681,1,"$1,282 "
492,41,70,1978,9,Male,2397 Madison Avenue,34.95,-82.12,"$18,857 ","$38,450 ","$51,430 ",850,1,"$1,602 "
1649,64,63,1956,2,Male,8146 Third Avenue,29.79,-95.82,$0 ,$399 ,$323 ,729,3,$17 
1577,53,66,1966,12,Male,153 Wessex Drive,27.33,-82.54,"$19,983 ","$40,745 ","$18,371 ",718,4,"$1,698 "
1527,66,67,1953,11,Female,1426 Fifth Avenue,43.32,-71.18,"$24,779 ","$50,523 ","$98,763 ",578,1,"$2,105 "
603,42,67,1978,2,Female,66 Norfolk Avenue,35.48,-97.26,"$21,884 ","$44,624 ","$102,882 ",611,1,"$1,859 "
781,30,74,1989,9,Male,7154 Lafayette Drive,32.33,-106.75,"$16,670 ","$33,993 ","$45,149 ",602,4,"$1,416 "
1605,39,67,1980,5,Male,9995 Pine Avenue,39.5,-84.37,"$19,293 ","$39,336 ","$43,747 ",690,3,"$1,639 "
1904,69,70,1951,2,Male,5844 Littlewood Street,35.95,-95.38,"$15,195 ","$30,983 ","$10,019 ",757,5,"$1,291 "
1642,37,66,1982,4,Female,48190 Plum Drive,39.96,-74.06,"$19,848 ","$40,470 ","$41,938 ",731,5,"$1,686 "
759,60,65,1959,12,Male,575 Bayview Lane,35.92,-86.84,"$36,563 ","$74,550 ","$37,427 ",687,4,"$3,106 "
1947,87,66,1932,4,Male,770 Maple Street,31.62,-82.88,"$14,060 ","$27,971 ","$1,265 ",765,4,"$1,165 "
814,72,65,1948,1,Male,9380 Hill Drive,27.98,-80.66,"$15,318 ","$16,302 ","$14,408 ",748,4,$679 
1405,45,71,1974,4,Male,70 Tenth Boulevard,47.91,-97.07,"$23,910 ","$48,755 ","$37,315 ",777,8,"$2,031 "
1284,50,64,1969,9,Female,8990 Plum Street,41.76,-70.08,"$19,591 ","$39,947 ","$57,346 ",765,2,"$1,664 "
31,51,65,1968,6,Female,413 East Boulevard,41.62,-87.72,"$22,348 ","$45,570 ",$0 ,712,3,"$1,899 "
