id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
3271,437,Mastercard,Debit,5745854957552328,08/2023,938,YES,2,$27687,06/2004,2007,No
3566,891,Mastercard,Debit,5128543726124447,12/2018,303,YES,1,$11037,06/2013,2013,No
2141,891,Mastercard,Debit,5713930994921001,10/2023,41,YES,1,$16986,03/2007,2010,No
5096,891,Visa,Credit,4796074118728753,03/2011,978,YES,1,$8800,10/2007,2014,No
4321,891,Mastercard,Debit,5895478812166500,01/2024,598,YES,2,$8212,08/2010,2011,No
4649,891,Visa,Debit,4750471235873274,09/2023,924,YES,2,$24270,09/2007,2008,No
2783,29,Visa,Credit,4794836039067049,02/2021,764,YES,1,$2700,04/2018,2018,No
3045,29,Mastercard,Debit,5345212200076229,08/2022,387,YES,1,$16113,05/2010,2010,No
3302,186,Visa,Credit,4219906676806338,09/2015,998,YES,2,$8900,06/2005,2011,No
2911,1314,Visa,Credit,4459121196885642,08/2010,455,YES,2,$10100,05/2006,2010,No
1081,1314,Mastercard,Debit,5287025690873732,09/2012,649,YES,2,$15714,02/2006,2006,No
2359,1314,Visa,Credit,4333294773814550,08/2017,973,YES,1,$15000,03/2016,2016,No
1140,1314,Mastercard,Debit,5283924863850626,03/2022,447,NO,2,$14664,02/2008,2010,No
3162,1314,Mastercard,Debit,5946312773938308,10/2015,291,YES,1,$12605,05/2015,2015,No
3657,354,Visa,Debit,4628936693780104,05/2022,450,YES,1,$23798,07/2000,2007,No
1168,354,Mastercard,Debit,5226253469892723,06/2023,896,YES,1,$20859,02/2009,2009,No
2924,354,Discover,Credit,6846703172802187,07/2007,994,YES,1,$9200,05/2007,2014,No
4518,354,Mastercard,Debit,5645109053545738,02/2024,508,YES,1,$35681,09/2002,2014,No
4902,354,Amex,Credit,397099721312783,08/2023,647,YES,1,$9000,09/2017,2017,No
3168,354,Visa,Debit,4298702562718334,01/2021,595,YES,1,$15206,05/2015,2015,No
5928,119,Mastercard,Debit,5736601123142270,01/2022,145,YES,2,$13177,12/2008,2014,No
5980,119,Visa,Credit,4282551690422601,03/2019,688,YES,1,$2500,12/2009,2009,No
379,119,Mastercard,Debit,5138208680850055,09/2020,400,NO,2,$20819,01/2019,2019,No
1082,244,Mastercard,Credit,5304372689056153,02/2024,871,NO,2,$7100,02/2006,2011,No
5953,244,Amex,Credit,308555388799852,12/2009,606,YES,1,$8500,12/2009,2012,No
490,817,Mastercard,Debit,5778485837801732,08/2021,852,YES,2,$32267,01/2020,2020,No
491,817,Mastercard,Debit,5517971919199348,09/2021,792,YES,1,$30670,01/2020,2020,No
2867,1408,Visa,Debit,4751759256983279,12/2023,978,YES,2,$6513,05/2004,2013,No
5522,1408,Mastercard,Debit,5827922070073569,08/2020,665,YES,1,$5044,11/2008,2008,No
59,1352,Visa,Debit,4969931231497491,11/2019,728,YES,2,$12528,01/2004,2012,No
2403,1352,Mastercard,Debit,5065991934613613,03/2020,444,YES,2,$19756,04/1999,2013,No
5355,1352,Mastercard,Debit,5074153322431986,10/1999,15,YES,1,$2042,11/1998,2008,No
4148,1951,Amex,Credit,397408628397205,01/2024,358,YES,1,$16000,08/2005,2008,No
4157,1951,Mastercard,Debit,5131315390682577,04/2011,260,YES,2,$19304,08/2005,2010,No
3360,1951,Visa,Debit,4667539931017684,10/2020,724,YES,2,$36548,06/2007,2015,No
1142,1951,Mastercard,Debit,5494695767588585,12/2023,105,YES,1,$10354,02/2008,2010,No
3188,1951,Discover,Credit,6059981259285361,08/2024,661,YES,1,$8000,05/2017,2017,No
2327,1976,Mastercard,Debit,5905144281673763,02/2020,324,YES,1,$17767,03/2014,2014,No
4847,1976,Mastercard,Debit (Prepaid),5376202172646612,11/2022,419,YES,1,$57,09/2013,2013,No
4338,1976,Visa,Debit,4078070579143813,05/2022,725,YES,1,$23011,08/2010,2010,No
1171,1976,Mastercard,Debit,5320540849135700,10/2023,66,YES,1,$21160,02/2009,2009,No
502,1976,Mastercard,Debit,5318581534984744,12/2021,914,NO,2,$21291,01/2020,2020,No
1530,785,Mastercard,Debit (Prepaid),5802808293999580,02/2023,374,NO,1,$80,02/2020,2020,No
507,785,Mastercard,Credit,5182039113510183,12/2024,533,YES,1,$15400,01/2020,2020,No
6118,1833,Mastercard,Debit,5198052110187452,01/2020,912,YES,1,$16064,12/2016,2016,No
1545,1833,Mastercard,Debit (Prepaid),5390138872145738,03/2020,267,YES,1,$98,02/2020,2020,No
2345,1833,Visa,Debit,4078898258495002,07/2015,929,YES,2,$16386,03/2015,2015,No
1818,1833,Visa,Credit,4301058381185328,03/2023,147,YES,1,$10100,02/2020,2020,No
794,1833,Visa,Debit,4256933161358353,10/2020,83,YES,2,$3472,01/2020,2020,No
3441,345,Visa,Credit,4346937080498804,09/2024,769,YES,3,$7900,06/2009,2009,No
90,852,Amex,Credit,377759808724051,10/2023,360,YES,1,$10300,01/2006,2013,No
1282,852,Visa,Credit,4373234712011855,01/2020,735,YES,2,$4400,02/2011,2011,No
4187,852,Visa,Debit,4251519859550278,04/2019,637,YES,2,$15878,08/2006,2008,No
2530,1817,Mastercard,Debit,5686575699244488,12/2024,666,YES,2,$43033,04/2007,2013,No
1211,1192,Mastercard,Debit,5303411542373680,10/2023,305,YES,1,$2001,02/2010,2018,No
541,787,Mastercard,Debit (Prepaid),5536825392398622,11/2024,829,YES,1,$80,01/2020,2020,No
1561,787,Mastercard,Credit,5736136415216037,02/2020,332,YES,1,$19500,02/2020,2020,No
5172,1285,Visa,Debit,4114452714679730,12/2021,613,YES,2,$6724,10/2009,2011,No
3216,1285,Mastercard,Debit,5607772753172564,12/2023,609,YES,2,$20933,06/2000,2014,No
1574,715,Mastercard,Debit,5098630896285808,04/2023,18,YES,2,$65185,02/2020,2020,No
6141,715,Mastercard,Debit,5369522792349411,08/2022,597,YES,1,$36570,12/2019,2019,No
3906,377,Visa,Credit,4962400888198876,09/2022,266,YES,2,$16400,07/2009,2009,No
4669,377,Mastercard,Debit,5022081495088085,10/2022,893,YES,2,$2536,09/2008,2008,No
1175,377,Mastercard,Debit,5009400051376027,11/2023,417,YES,1,$30403,02/2009,2014,No
4602,377,Mastercard,Debit,5870688639058028,02/2024,916,NO,1,$32636,09/2006,2016,No
3003,377,Mastercard,Debit,5070774990129713,09/2020,210,YES,2,$2536,05/2009,2009,No
5668,716,Mastercard,Debit (Prepaid),5494077855460522,07/2013,855,NO,1,$60,11/2012,2012,No
811,716,Visa,Credit,4295673364937234,01/2023,900,YES,1,$7000,01/2020,2020,No
555,716,Mastercard,Debit,5513976299775159,03/2023,404,YES,2,$7139,01/2020,2020,No
3965,716,Discover,Credit,6849688773737188,03/2024,590,YES,2,$5200,07/2011,2011,No
556,716,Mastercard,Debit,5169449886762703,09/2021,443,YES,1,$10199,01/2020,2020,No
4715,716,Mastercard,Credit,5168351147755520,02/2024,700,YES,1,$9800,09/2009,2009,No
2880,1361,Mastercard,Debit,5046881432224652,07/2013,229,YES,2,$1513,05/2005,2008,No
4950,1361,Mastercard,Debit,5577172894705200,10/2020,459,YES,2,$14767,10/2001,2012,No
566,1914,Mastercard,Credit,5916703381443047,06/2024,396,YES,1,$10400,01/2020,2020,No
4087,1966,Mastercard,Debit,5628413686894942,09/2021,490,YES,1,$22679,08/1997,2014,No
2643,1966,Mastercard,Debit,5638732969366742,04/2023,854,YES,2,$13326,04/2010,2010,No
6029,1966,Visa,Debit,4391016864300787,11/2020,883,YES,1,$13778,12/2010,2015,No
4737,1966,Visa,Credit,4255500869023678,05/2016,402,YES,2,$10400,09/2009,2011,No
2965,1513,Mastercard,Credit,5634053342792528,07/2021,779,YES,1,$27200,05/2008,2011,No
3933,1513,Mastercard,Debit,5335296190511129,10/2021,416,YES,1,$36344,07/2010,2010,No
3546,1513,Mastercard,Credit,5257923747690161,11/2020,547,YES,2,$8900,06/2012,2012,No
4029,248,Visa,Debit,4747815633973046,08/2021,914,YES,1,$9741,07/2014,2014,No
4932,248,Mastercard,Debit,5499359671695760,11/2021,129,YES,1,$11749,10/1998,2008,No
99,248,Mastercard,Debit,5145532394563662,04/2013,369,YES,2,$12257,01/2006,2010,No
1030,248,Mastercard,Debit,5939700185835878,09/2010,635,YES,2,$10792,02/2004,2008,No
2102,1557,Amex,Credit,323245493552532,01/2024,133,YES,1,$19000,03/2006,2011,No
2471,1557,Visa,Debit,4937226529694539,04/2021,978,NO,1,$12370,04/2004,2008,No
6098,1557,Discover,Credit,6263143688274935,04/2020,750,YES,2,$9000,12/2014,2014,No
1613,104,Mastercard,Debit,5142639208685540,02/2020,219,YES,2,$4924,02/2020,2020,No
3161,104,Discover,Credit,6464999389821775,09/2020,611,YES,1,$6300,05/2015,2015,No
4205,104,Mastercard,Credit,5510383883718886,05/2024,39,NO,1,$8000,08/2007,2020,No
1249,330,Visa,Debit,4013218758934399,10/2012,551,YES,2,$25124,02/2010,2010,No
5153,1144,Mastercard,Debit,5270047889650775,09/2024,586,YES,2,$16109,10/2009,2009,No
4172,1144,Discover,Credit,6163698170878871,01/2010,324,YES,1,$8100,08/2006,2008,No
4141,1144,Visa,Debit,4133372133177612,04/2024,36,YES,2,$16454,08/2004,2010,No
2223,1144,Mastercard,Credit,5519338595052196,04/2024,968,YES,2,$7300,03/2009,2010,No
5227,230,Amex,Credit,327212376390677,08/2023,611,YES,2,$8700,10/2011,2013,No
5788,230,Amex,Credit,389676870614061,10/2022,391,YES,2,$4000,12/2003,2006,No
5893,230,Mastercard,Credit,5761118180884911,02/2020,236,YES,1,$7200,12/2007,2012,No
5033,230,Visa,Debit,4440890128195970,09/2022,434,NO,2,$14362,10/2005,2006,No
4933,1876,Mastercard,Debit,5098350921641458,04/2023,974,YES,1,$16082,10/1998,2010,No
3315,1876,Mastercard,Debit,5986700523468552,12/2020,317,YES,1,$21552,06/2006,2006,No
5708,1876,Mastercard,Debit,5705118094307247,08/2022,295,YES,1,$29037,11/2015,2015,No
2881,1876,Mastercard,Debit,5865202589439156,12/2006,927,YES,2,$19107,05/2005,2005,No
5051,1876,Mastercard,Debit,5920582128586067,03/2012,387,YES,2,$26562,10/2006,2008,No
4503,1876,Discover,Credit,6208549056774201,06/2020,325,YES,1,$9800,09/2000,2011,No
5290,469,Mastercard,Debit,5317963113167475,08/2023,60,YES,1,$26162,10/2014,2014,No
2686,469,Visa,Credit,4499974645760874,12/2024,556,YES,1,$13700,04/2011,2014,No
2619,469,Visa,Debit,4855184148394849,01/2022,646,YES,2,$31504,04/2009,2014,No
4178,469,Mastercard,Debit,5095105587832290,04/2009,488,YES,2,$9010,08/2006,2007,No
1894,765,Visa,Debit,4401985504522492,10/2023,745,YES,2,$13524,02/2020,2020,No
1895,765,Visa,Credit,4070730691570556,04/2021,834,YES,2,$15000,02/2020,2020,No
3332,692,Visa,Debit,4048124341417315,10/2021,117,YES,2,$35649,06/2006,2011,No
2073,692,Visa,Debit,4160987980022088,10/2012,11,YES,2,$18979,03/2004,2008,No
5860,692,Mastercard,Credit,5640983344867524,02/2023,571,NO,2,$10000,12/2006,2012,No
4303,692,Visa,Debit (Prepaid),4201848747072347,08/2018,604,YES,2,$63,08/2009,2014,No
3425,740,Mastercard,Debit,5153811866078718,01/2017,115,YES,2,$2172,06/2009,2017,No
607,740,Mastercard,Debit,5514582408709018,04/2021,117,YES,1,$8661,01/2020,2020,No
845,740,Visa,Debit,4456142342115909,03/2023,189,YES,2,$4009,01/2020,2020,No
2185,1006,Mastercard,Debit,5768034144342998,09/2024,339,YES,2,$14814,03/2008,2008,No
3509,1006,Amex,Credit,375781387847037,09/2021,910,YES,1,$10900,06/2011,2011,No
4723,1006,Mastercard,Debit,5422477428882353,01/2023,49,YES,2,$17253,09/2009,2011,No
2408,1696,Mastercard,Debit,5412731781518758,05/2018,599,YES,2,$12047,04/2000,2008,No
285,196,Visa,Credit,4997594823384918,10/2021,0,YES,2,$4300,01/2011,2011,No
3426,1358,Mastercard,Debit (Prepaid),5722130479224541,05/2020,447,YES,1,$80,06/2009,2012,No
1909,1358,Visa,Debit,4260770454530847,10/2023,303,YES,1,$26394,02/2020,2020,No
5736,1358,Mastercard,Debit (Prepaid),5596764819382871,01/2020,26,YES,1,$71,11/2018,2018,No
5135,1358,Visa,Debit (Prepaid),4611045541819658,01/2024,73,YES,1,$83,10/2008,2008,No
1319,748,Mastercard,Debit,5811894674904856,06/2022,745,YES,1,$18204,02/2013,2013,No
2763,748,Mastercard,Debit,5448937090820055,01/2017,848,YES,1,$20067,04/2016,2016,No
1067,748,Visa,Credit,4036090740222579,12/2020,776,YES,1,$14400,02/2005,2012,No
1917,1960,Visa,Debit (Prepaid),4424096582531662,04/2021,325,NO,2,$69,02/2020,2020,No
5219,404,Visa,Credit,4168726918316832,07/2024,482,YES,1,$10900,10/2010,2010,No
3975,741,Mastercard,Debit,5761918360234631,08/2020,174,YES,2,$20174,07/2011,2011,No
1658,9,Mastercard,Debit,5564349746173182,04/2023,547,YES,1,$2049,02/2020,2020,No
1418,9,Amex,Credit,326339433819854,12/2022,719,NO,1,$7600,02/2020,2020,No
621,9,Mastercard,Debit,5172118224009293,01/2024,934,YES,1,$14670,01/2020,2020,No
5123,790,Mastercard,Debit,5112985372677713,08/2022,62,YES,2,$19038,10/2008,2010,No
3350,790,Mastercard,Debit,5422967140573110,03/2012,803,YES,1,$23632,06/2007,2009,No
5533,1839,Mastercard,Debit,5960113726065282,12/2008,880,NO,2,$15122,11/2008,2010,No
339,1585,Visa,Debit,4915076647608173,08/2023,63,NO,1,$14708,01/2014,2014,No
2721,1585,Visa,Debit,4535134357521443,03/2022,877,YES,2,$19197,04/2013,2013,No
6103,1585,Mastercard,Debit,5325994058715063,04/2022,617,YES,1,$14830,12/2014,2014,No
4759,732,Discover,Credit,6457800663577684,01/2012,285,YES,1,$9200,09/2010,2010,No
5200,732,Mastercard,Debit,5810725153736837,05/2022,279,YES,1,$9420,10/2010,2012,No
1115,732,Mastercard,Debit (Prepaid),5486503850400569,05/2021,264,NO,2,$49,02/2007,2011,No
5948,732,Visa,Debit,4023270767899228,04/2020,32,YES,2,$18535,12/2008,2008,No
5220,732,Visa,Debit,4442324693688145,09/2023,130,YES,1,$10104,10/2010,2015,No
46,732,Visa,Debit (Prepaid),4820966230615076,11/2022,662,YES,2,$63,01/2003,2010,No
2386,913,Mastercard,Debit,5714757950966275,09/2020,805,YES,1,$11646,03/2019,2019,No
3110,913,Visa,Credit,4526538061468985,03/2020,180,YES,1,$6900,05/2011,2011,No
5899,913,Mastercard,Debit,5986384191582569,10/2014,786,YES,2,$8230,12/2007,2014,No
876,626,Visa,Debit,4887374207803058,01/2020,756,YES,2,$43186,01/2020,2020,No
1669,626,Mastercard,Debit,5739105038876054,12/2022,372,YES,1,$56434,02/2020,2020,No
3064,1084,Mastercard,Debit,5424410190052621,04/2021,437,YES,1,$19807,05/2010,2010,No
3232,1084,Amex,Credit,338539852038786,05/2017,921,YES,1,$20900,06/2002,2011,No
5987,1084,Visa,Credit,4230182755483449,05/2020,741,YES,1,$7400,12/2009,2009,No
3454,1084,Visa,Debit,4105025447291578,07/2023,810,YES,1,$35268,06/2009,2009,No
4481,467,Mastercard,Debit,5318644266130472,01/2021,925,YES,2,$31741,08/2019,2019,No
4278,467,Visa,Credit,4112282514083000,07/2021,619,YES,2,$14500,08/2008,2010,No
3914,467,Visa,Credit,4622003534052016,03/2024,207,YES,2,$11200,07/2009,2011,No
1427,1235,Amex,Credit,389499805815638,02/2024,391,YES,2,$11500,02/2020,2020,No
5432,802,Mastercard,Credit,5444299345162204,02/2024,480,YES,2,$18300,11/2005,2014,No
2291,802,Visa,Credit,4637446539727375,05/2021,107,YES,2,$21400,03/2011,2011,No
5293,802,Mastercard,Debit,5564701470778719,10/2024,739,YES,1,$20886,10/2014,2014,No
5676,802,Mastercard,Debit,5907261370634843,07/2024,645,YES,1,$27701,11/2012,2012,No
233,859,Mastercard,Credit,5753025722639048,09/2023,224,YES,2,$8800,01/2010,2010,No
2304,859,Mastercard,Debit,5224418160535170,07/2021,724,YES,2,$20354,03/2012,2012,No
4014,859,Visa,Debit,4318671654054716,10/2020,37,YES,2,$14695,07/2013,2013,No
3480,859,Mastercard,Debit,5947211336145075,03/2024,807,YES,2,$16783,06/2010,2011,No
2065,1247,Mastercard,Debit,5287003468674175,10/2022,799,NO,2,$13095,03/2004,2018,No
1073,1247,Visa,Debit,4022230098961139,05/2021,90,YES,1,$30822,02/2005,2015,No
3370,1247,Visa,Debit,4303658032034982,04/2023,673,YES,2,$16764,06/2007,2007,No
5837,1247,Mastercard,Credit,5064938627957332,05/2022,742,NO,2,$5700,12/2005,2010,No
5686,1247,Mastercard,Debit,5905151932957268,07/2023,407,YES,1,$18482,11/2013,2013,No
3296,1725,Mastercard,Debit,5197218235211418,01/2021,955,YES,2,$30950,06/2005,2020,No
4998,1725,Visa,Debit,4193057506301353,06/2023,602,YES,1,$4723,10/2003,2011,No
2238,1725,Visa,Debit,4872357106200453,05/2021,17,YES,1,$12325,03/2009,2009,No
2814,1725,Mastercard,Debit (Prepaid),5566680974439314,02/2010,454,YES,2,$15,05/2001,2009,No
4999,1725,Visa,Debit,4119268573253939,09/2022,247,YES,2,$28166,10/2003,2015,No
3525,1725,Mastercard,Debit,5810332499908324,12/2024,932,YES,1,$14056,06/2011,2011,No
265,37,Discover,Credit,6845375674595536,02/2024,943,YES,1,$0,01/2011,2011,No
1230,37,Mastercard,Debit,5417518550067026,12/2022,737,YES,1,$10608,02/2010,2010,No
1183,37,Mastercard,Debit,5345636299699533,02/2013,788,YES,1,$16315,02/2009,2010,No
659,37,Mastercard,Debit,5503299875661525,02/2020,924,YES,1,$20587,01/2020,2020,No
3099,75,Mastercard,Credit,5689040853282702,10/2021,551,YES,2,$9200,05/2011,2011,No
2227,75,Mastercard,Debit,5122476616301895,05/2020,133,YES,1,$17314,03/2009,2011,No
3781,75,Mastercard,Debit,5304039785163827,09/2023,849,YES,1,$20605,07/2006,2011,No
4113,75,Discover,Credit,6798120561105479,05/2024,373,NO,2,$9500,08/2003,2005,No
4785,408,Mastercard,Debit,5335828686031643,02/2015,167,YES,2,$785,09/2010,2010,No
4960,408,Visa,Credit,4749273777651489,03/2022,809,YES,2,$6900,10/2001,2011,No
2515,408,Visa,Debit,4450794746298149,12/2018,502,YES,1,$22457,04/2006,2010,No
4049,1862,Visa,Credit,4495571717001479,09/2023,778,YES,2,$10200,07/2016,2016,No
1708,1850,Mastercard,Debit,5756191460540395,07/2022,627,YES,2,$8653,02/2020,2020,No
2162,991,Visa,Credit,4345940645469625,08/2007,391,YES,1,$3100,03/2007,2008,No
2806,730,Visa,Credit,4498188620007875,01/2021,230,YES,2,$19400,05/1999,2011,No
1118,730,Mastercard,Debit,5930455553645091,08/2023,617,NO,1,$29268,02/2007,2010,No
4827,730,Visa,Debit,4893423769208595,10/2024,941,YES,2,$10756,09/2011,2011,No
1716,670,Mastercard,Debit (Prepaid),5035031873988658,08/2021,144,YES,2,$57,02/2020,2020,No
911,670,Visa,Debit,4556696236442252,05/2020,31,YES,2,$10705,01/2020,2020,No
2592,1008,Visa,Debit,4341654408733205,01/2023,76,YES,2,$20245,04/2008,2008,No
5850,1008,Visa,Credit,4921858287042321,02/2020,790,NO,1,$5100,12/2005,2010,No
2325,1008,Visa,Debit,4402133040036554,05/2022,178,YES,1,$36515,03/2013,2013,No
382,1008,Mastercard,Debit,5036845153057903,12/2024,88,YES,2,$15306,01/2019,2019,No
4593,1008,Amex,Credit,398596768092162,04/2009,360,YES,1,$20600,09/2006,2008,No
1964,1126,Visa,Debit,4224143942174854,03/2022,4,YES,1,$20318,02/2020,2020,No
678,1835,Mastercard,Debit,5452922835345688,01/2020,969,YES,2,$12191,01/2020,2020,No
2351,952,Visa,Debit,4295877159831914,02/2024,602,YES,1,$58234,03/2015,2015,No
1275,952,Mastercard,Debit,5357953507565192,07/2021,726,YES,2,$76966,02/2011,2011,No
1720,574,Mastercard,Credit,5943886556523564,09/2021,437,YES,2,$12500,02/2020,2020,No
435,574,Discover,Credit,6741482633639648,04/2020,360,NO,2,$10500,01/2020,2020,No
1721,574,Mastercard,Debit (Prepaid),5680672417239483,02/2020,195,YES,1,$72,02/2020,2020,No
1722,574,Mastercard,Credit,5544918910984279,05/2020,158,YES,1,$8800,02/2020,2020,No
5712,1807,Mastercard,Debit,5678405303384008,03/2022,24,YES,2,$26838,11/2015,2015,No
4123,1807,Visa,Debit,4963369225142746,09/2009,418,YES,1,$38154,08/2003,2011,No
2823,1807,Amex,Credit,321246869185324,08/2020,300,YES,2,$13200,05/2002,2014,No
165,1807,Mastercard,Debit (Prepaid),5207231566469664,03/2014,198,YES,1,$89,01/2008,2015,No
2837,1807,Amex,Credit,342755409763060,04/2007,743,YES,2,$3900,05/2003,2008,No
919,101,Visa,Credit,4892534625652849,12/2023,286,YES,2,$5300,01/2020,2020,No
3796,492,Visa,Debit,4837452802436823,05/2022,288,YES,1,$16905,07/2006,2008,No
5973,1649,Mastercard,Debit,5178473684405564,12/2022,562,YES,1,$232,12/2009,2010,No
4410,1649,Mastercard,Credit,5012197802964363,02/2016,674,YES,2,$100,08/2013,2013,No
3697,1649,Mastercard,Debit (Prepaid),5855938431811539,04/2017,656,YES,1,$80,07/2003,2011,No
3539,1577,Visa,Credit,4816860056537332,11/2022,197,YES,1,$10100,06/2011,2014,No
3437,1577,Mastercard,Debit,5764651900129904,03/2024,596,YES,1,$2037,06/2009,2013,No
3504,1577,Visa,Debit,4991364969575729,01/2021,244,YES,2,$21999,06/2010,2015,No
2394,1577,Mastercard,Debit,5557499918915420,01/2021,576,YES,2,$15793,04/1994,2012,No
2366,1527,Mastercard,Credit,5801798801399788,06/2021,527,YES,2,$7100,03/2017,2017,No
2710,603,Visa,Credit,4958653958330137,11/2022,821,YES,2,$3900,04/2012,2012,No
1235,781,Mastercard,Debit,5724812856736556,12/2024,821,YES,2,$16474,02/2010,2010,No
1984,781,Visa,Debit,4441537373999689,02/2020,193,YES,2,$3356,02/2020,2020,No
937,781,Visa,Debit,4130215809450765,02/2020,602,YES,2,$14679,01/2020,2020,No
4388,781,Discover,Credit,6308521512097419,08/2020,770,YES,2,$4300,08/2012,2012,No
1133,1605,Visa,Debit,4607163659779577,01/2024,954,YES,1,$18358,02/2007,2010,No
3231,1605,Visa,Credit,4050809280792654,10/2022,906,YES,1,$8700,06/2001,2010,No
5975,1605,Mastercard,Debit,5242747753340318,12/2009,558,YES,2,$1966,12/2009,2011,No
2555,1904,Visa,Credit,4906330160441425,06/2021,740,NO,1,$13600,04/2007,2011,No
2575,1904,Mastercard,Debit (Prepaid),5018139436441141,11/2022,978,YES,1,$40,04/2008,2011,No
3656,1904,Mastercard,Debit (Prepaid),5560959222277430,08/2007,327,YES,2,$61,07/2000,2013,No
1004,1904,Mastercard,Debit,5660745375245497,07/2022,27,YES,1,$7597,02/2002,2005,No
2498,1904,Visa,Credit,4424092813863775,07/2024,996,NO,2,$9900,04/2005,2006,No
3506,1642,Visa,Credit,4941217468452968,03/2015,160,YES,2,$12200,06/2010,2010,No
3573,1642,Visa,Credit,4222423291346252,01/2021,67,YES,1,$5000,06/2013,2013,No
5206,1642,Mastercard,Credit,5451362125568437,03/2020,365,YES,1,$11200,10/2010,2010,No
6034,1642,Visa,Credit,4759687155885583,07/2016,34,NO,2,$11200,12/2010,2011,No
4281,1642,Visa,Debit,4680328184934192,12/2012,377,YES,1,$26730,08/2008,2010,No
2013,759,Visa,Credit,4417109828447309,05/2002,812,YES,2,$15500,03/1999,2013,No
3716,759,Mastercard,Debit,5418111837859479,05/2022,529,YES,2,$23154,07/2004,2012,No
2230,759,Mastercard,Debit,5864938158181063,03/2012,438,YES,2,$8747,03/2009,2009,No
3101,759,Mastercard,Debit,5565412921641370,09/2024,992,YES,1,$25059,05/2011,2011,No
2909,1947,Mastercard,Debit,5611228007672267,01/2019,578,NO,2,$11817,05/2006,2009,No
2271,1947,Visa,Debit,4909515632835135,05/2015,967,YES,1,$1433,03/2010,2010,No
205,1947,Mastercard,Debit,5671721481892550,07/2022,733,YES,1,$11982,01/2009,2013,No
2654,1947,Mastercard,Debit,5263399480715028,09/2022,84,YES,1,$5440,04/2010,2010,No
340,814,Visa,Credit,4458593801378188,07/2024,713,YES,2,$7400,01/2014,2014,No
2955,814,Amex,Credit,304032329695965,07/2020,406,YES,2,$14300,05/2008,2012,No
4536,814,Mastercard,Debit,5975850851446048,10/2024,385,YES,2,$8262,09/2003,2018,No
4444,814,Visa,Credit,4107536740374307,04/2018,877,YES,1,$7700,08/2014,2014,No
4754,1405,Visa,Debit,4324994489841346,11/2024,374,YES,2,$19575,09/2009,2009,No
2690,1405,Visa,Debit (Prepaid),4465717590252409,10/2020,476,YES,2,$62,04/2011,2011,No
2939,1405,Mastercard,Credit,5520845437304871,02/2018,530,NO,1,$10800,05/2007,2009,No
